1000.00, 2024-11-12 19:20:54.712643
1100.00, 2024-11-12 19:20:54.712643
1200.00, 2024-11-12 19:20:54.712643
1300.00, 2024-11-12 19:20:54.728268
1400.00, 2024-11-12 19:20:54.728268
1500.00, 2024-11-12 19:20:54.728268
1600.00, 2024-11-12 19:20:54.743885
1700.00, 2024-11-12 19:20:54.743885
1800.00, 2024-11-12 19:20:54.743885
1900.00, 2024-11-12 19:20:54.743885
-100.00, 2024-11-12 19:20:54.759513
-130.00, 2024-11-12 19:20:54.759513
-160.00, 2024-11-12 19:20:54.759513
-190.00, 2024-11-12 19:20:54.775143
-220.00, 2024-11-12 19:20:54.775143
-250.00, 2024-11-12 19:20:54.775143
-280.00, 2024-11-12 19:20:54.775143
-310.00, 2024-11-12 19:20:54.790763
-340.00, 2024-11-12 19:20:54.790763
-370.00, 2024-11-12 19:20:54.790763
-400.00, 2024-11-12 19:20:54.806393
-430.00, 2024-11-12 19:20:54.806393
-460.00, 2024-11-12 19:20:54.806393
-490.00, 2024-11-12 19:20:54.822058
-520.00, 2024-11-12 19:20:54.822058
-550.00, 2024-11-12 19:20:54.822058
-580.00, 2024-11-12 19:20:54.822058
-610.00, 2024-11-12 19:20:54.837638
-640.00, 2024-11-12 19:20:54.837638
-670.00, 2024-11-12 19:20:54.837638
-700.00, 2024-11-12 19:20:54.853268
-730.00, 2024-11-12 19:20:54.853268
-760.00, 2024-11-12 19:20:54.853268
-790.00, 2024-11-12 19:20:54.853268
1000.00, 2024-11-12 19:21:08.432705
1100.00, 2024-11-12 19:21:08.432705
1200.00, 2024-11-12 19:21:08.432705
1300.00, 2024-11-12 19:21:08.448323
1400.00, 2024-11-12 19:21:08.448323
1500.00, 2024-11-12 19:21:08.448323
1600.00, 2024-11-12 19:21:08.463956
1700.00, 2024-11-12 19:21:08.463956
1800.00, 2024-11-12 19:21:08.463956
1900.00, 2024-11-12 19:21:08.479584
-100.00, 2024-11-12 19:21:08.479584
-130.00, 2024-11-12 19:21:08.479584
-160.00, 2024-11-12 19:21:08.495202
-190.00, 2024-11-12 19:21:08.495202
-220.00, 2024-11-12 19:21:08.495202
-250.00, 2024-11-12 19:21:08.510854
-280.00, 2024-11-12 19:21:08.510854
-310.00, 2024-11-12 19:21:08.510854
-340.00, 2024-11-12 19:21:08.526453
-370.00, 2024-11-12 19:21:08.526453
-400.00, 2024-11-12 19:21:08.526453
-430.00, 2024-11-12 19:21:08.526453
-460.00, 2024-11-12 19:21:08.542073
-490.00, 2024-11-12 19:21:08.542073
-520.00, 2024-11-12 19:21:08.542073
-550.00, 2024-11-12 19:21:08.557697
-580.00, 2024-11-12 19:21:08.557697
-610.00, 2024-11-12 19:21:08.557697
-640.00, 2024-11-12 19:21:08.573338
-670.00, 2024-11-12 19:21:08.573338
-700.00, 2024-11-12 19:21:08.573338
-730.00, 2024-11-12 19:21:08.588977
-760.00, 2024-11-12 19:21:08.588977
-790.00, 2024-11-12 19:21:08.588977
-200.00, 2024-12-15 11:16:19.619511
